plot_order,figure_panel,experiment,cohort,system,metric,denominator,n_cases,n_patients,n_answered,n_runs,value,sd_runs,ci95_case_lo,ci95_case_hi,ci95_pat_lo,ci95_pat_hi
1,Figure 7f,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 1",macro-AUC,answered,30,30,30,5,0.6093,0.0097,,,,
2,Figure 7f,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 2",macro-AUC,answered,30,30,30,5,0.6483,0.0853,,,,
3,Figure 7f,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 3",macro-AUC,answered,30,30,30,5,0.604,0.0793,,,,
4,Figure 7f,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 4",macro-AUC,answered,30,30,30,5,0.6493,0.1235,,,,
5,Figure 7f,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 5",macro-AUC,answered,30,30,30,5,0.643,0.1183,,,,
6,Figure 7f,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 6",macro-AUC,answered,30,30,30,5,0.6692,0.1006,,,,
7,Figure 7f,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 7",macro-AUC,answered,30,30,30,5,0.6447,0.1177,,,,
8,Figure 7f,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 8",macro-AUC,answered,30,30,30,5,0.7227,0.1376,,,,
9,Figure 7f,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 9",macro-AUC,answered,30,30,30,5,0.7705,0.0889,,,,
10,Figure 7f,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 10",macro-AUC,answered,30,30,30,5,0.7748,0.052,,,,
11,Figure 7f,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 11",macro-AUC,answered,30,30,30,5,0.8048,0.0209,,,,
12,Figure 7f,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 12",macro-AUC,answered,30,30,30,5,0.8048,0.0209,,,,
13,Figure 7f,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 13",macro-AUC,answered,30,30,30,5,0.8048,0.0209,,,,
14,Figure 7f,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 14",macro-AUC,answered,30,30,30,5,0.8012,0.0262,,,,
15,Figure 7f,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 15",macro-AUC,answered,30,30,30,5,0.824,0.0303,,,,
16,Figure 7f,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 16",macro-AUC,answered,30,30,30,5,0.824,0.0213,,,,
17,Figure 7f,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 17",macro-AUC,answered,30,30,30,5,0.8292,0.0145,,,,
18,Figure 7f,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 18",macro-AUC,answered,30,30,30,5,0.8295,0.0077,,,,
19,Figure 7f,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 19",macro-AUC,answered,30,30,30,5,0.8268,0.0121,,,,
20,Figure 7f,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 20",macro-AUC,answered,30,30,30,5,0.8358,0.0213,,,,
